"id","code","name"
edu_name_object_1,181000003,"ESCUELA DE OFICIALES DE LA FUERZA AÉREA DEL PERÚ. CAPITAN FAP ""JOSÉ QUIÑONES GONZALES"""
edu_name_object_2,181000004,ESCUELA DE OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ
edu_name_object_3,181000001,"ESCUELA MILITAR DEL PERÚ ""CORONEL FRANCISCO BOLOGNESI"""
edu_name_object_4,181000002,ESCUELA NAVAL DEL PERÚ
edu_name_object_5,182000004,ESCUELA TECNICA SUPERIOR DE LA POLICIA NACIONAL DEL PERÚ
edu_name_object_6,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ
edu_name_object_7,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN
edu_name_object_8,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO
edu_name_object_9,170209858,ACAD. MUSICA Y DANZAS
edu_name_object_10,271114933,ANTONIO RUIZ DE MONTOYA
edu_name_object_11,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”
edu_name_object_12,271468180,ARTE NEGOCIOS Y TECNOLOGIA
edu_name_object_13,171061894,BELLAS ARTES “DIEGO QUISPE TITO” CALCA
edu_name_object_14,171062439,BELLAS ARTES “DIEGO QUISPE TITO” DEL CUSCO
edu_name_object_15,170326108,BELLAS ARTES DEL PERU-LIMA
edu_name_object_16,171061928,BELLAS ARTES DQT FILIAL CANCHIS
edu_name_object_17,170702829,BELLAS ARTES MACEDONIO DE LA TORRE
edu_name_object_18,170695528,CARLOS BACA FLOR
edu_name_object_19,170394098,CARLOS VALDERRAMA
edu_name_object_20,171637859,CHABUCA GRANDA
edu_name_object_21,170326124,CONSERVATORIO NACIONAL DE MÚSICA
edu_name_object_22,271124031,CORRIENTE ALTERNA
edu_name_object_23,170673061,DANIEL ALOMÍA ROBLES
edu_name_object_24,170699702,DE FORMACION ARTISTICA-HUARAZ
edu_name_object_25,170817544,EDUARDO MEZA SARAVIA
edu_name_object_26,171130210,ERNESTO LÓPEZ MINDREAU
edu_name_object_27,170326132,NACIONAL DE BALLET
edu_name_object_28,171345198,ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU-CHACHAPOYAS
edu_name_object_29,170768630,ESCUELA SUPERIOR DE FORMACION ARTISTICA-BAGUA
edu_name_object_30,170419960,ESCUELA SUPERIOR DE MUSICA CONDORCUNCA
edu_name_object_31,170419978,FELIPE GUAMÁN POMA DE AYALA
edu_name_object_32,170925057,FORMACION ARTISTICA-TARMA
edu_name_object_33,171125723,FRANCISCO LASO
edu_name_object_34,170886549,FRANCISCO PÉREZ ANAMPA
edu_name_object_35,270920231,GUDELIA ALARCO DE VARGAS
edu_name_object_36,171187368,IGNACIO MERINO DE PIURA
edu_name_object_37,271114578,JOSAFAT ROEL PINEDA
edu_name_object_38,171114693,JOSÉ MARÍA ARGUEDAS
edu_name_object_39,170702605,JOSÉ MARÍA VALLE RIESTRA
edu_name_object_40,170702837,JULIACA
edu_name_object_41,170285973,LEANDRO ALVIÑA
edu_name_object_42,171148485,LORENZO LUJAN DARJON
edu_name_object_43,170695536,LUIS DUNCKER LAVALLE
edu_name_object_44,170696005,MARIO URTEAGA ALVARADO
edu_name_object_45,171027564,MOHO
edu_name_object_46,171025584,PILCUYO
edu_name_object_47,170240135,PUNO
edu_name_object_48,170276352,REG BELLAS ARTES ICA
edu_name_object_49,270920488,RICHARD WAGNER
edu_name_object_50,170679746,SÉRVULO GUTIÉRREZ ALARCÓN DE ICA
edu_name_object_51,271123488,THEODORO VALCARCEL CABALLERO
edu_name_object_52,170685164,VICTOR MOREY PEÑA
edu_name_object_53,170394106,VIRGILIO RODRÍGUEZ NACHE
edu_name_object_54,150653592,13 DE JULIO DE 1882
edu_name_object_55,150921015,ACOLLA
edu_name_object_56,150932475,ACOMAYO
edu_name_object_57,151093152,AGUSTÍN BOCANEGRA Y PRADA
edu_name_object_58,151545623,ALIANZA ICHUÑA BÉLGICA
edu_name_object_59,150642090,ANTENOR ORREGO
edu_name_object_60,150695452,AREQUIPA
edu_name_object_61,150391169,ARÍSTIDES MERINO MERINO
edu_name_object_62,151273911,AYAVIRI
edu_name_object_63,150630558,AZÁNGARO
edu_name_object_64,150811489,CACHICADÁN
edu_name_object_65,151141795,CARLOS MEDRANO VÁSQUEZ
edu_name_object_66,151150739,CAYETANO ARDANZA
edu_name_object_67,150708164,CÉSAR ABRAHAM VALLEJO MENDOZA
edu_name_object_68,150686618,CHIMBOTE
edu_name_object_69,150608299,CHINCHA
edu_name_object_70,150644807,CHIQUIÁN
edu_name_object_71,150638130,CIRO ALEGRÍA BAZAN
edu_name_object_72,150932392,COYLLURQUI
edu_name_object_73,150690388,DAVID SÁNCHEZ INFANTE
edu_name_object_74,151096924,DE PICOTA
edu_name_object_75,151078880,DE UCHIZA
edu_name_object_76,151000694,DEL SANTA
edu_name_object_77,150932665,DIVINO JESÚS (ANTES SANTO TOMAS)
edu_name_object_78,151193259,EDISLAO MERA DÁVILA
edu_name_object_79,150630616,EDUCACIÓN FÍSICA LAMPA
edu_name_object_80,150688069,EDUCACIÓN FÍSICA-HUANCAVELICA
edu_name_object_81,151065416,EMILIA BARCIA BONIFFATTI
edu_name_object_82,150653584,FIDEL ZÁRATE PLASENCIA
edu_name_object_83,150637116,FILIBERTO GARCÍA CUELLAR
edu_name_object_84,151160191,FRAY ÁNGEL JOSÉ AZAGRA MURILLO
edu_name_object_85,150636811,FRAY FLORENCIO PASCUAL ALEGRE GONZÁLEZ
edu_name_object_86,150575779,GAMANIEL BLANCO MURILLO
edu_name_object_87,150576553,GENERALÍSIMO JOSÉ DE SAN MARTIN
edu_name_object_88,150726414,GRAN PAJATEN
edu_name_object_89,150783399,GREGORIA SANTOS
edu_name_object_90,150575308,GREGORIO MENDEL
edu_name_object_91,150609370,GUSTAVO ALLENDE LLAVERIA
edu_name_object_92,150610519,HERMILIO VALDIZAN
edu_name_object_93,150391151,HNO. VICTORINO ELORZ GOICOECHEA-CAJAMARCA
edu_name_object_94,150512855,HNO. VICTORINO ELORZ GOICOECHEA-SULLANA
edu_name_object_95,150891952,HONORIO DELGADO ESPINOZA
edu_name_object_96,150584755,HORACIO ZEBALLOS GAMEZ-CORONEL PORTILLO
edu_name_object_97,150933788,HORACIO ZEBALLOS GAMEZ-QUISPICANCHI
edu_name_object_98,151025683,HUANCANÉ
edu_name_object_99,151166057,HUANCASPATA
edu_name_object_100,150421412,HUANCAVELICA
edu_name_object_101,150412189,HUARAZ
edu_name_object_102,150936856,HUMBERTO YAURI MARTÍNEZ
edu_name_object_103,150597278,IGNACIO AMADEO RAMOS OLIVERA-YUNGAY
edu_name_object_104,150634659,INDOAMERICA
edu_name_object_105,150681627,INSTITUTO SUPERIOR PEDAGOGICO PUBLICO
edu_name_object_106,151275759,JOSÉ ANTONIO ENCINAS-TUMBES
edu_name_object_107,151029123,JOSÉ ANTONIO ENCINAS-PUNO
edu_name_object_108,150932368,JOSÉ CARLOS MARIÁTEGUI
edu_name_object_109,150751800,JOSE CRESPO Y CASTILLO
edu_name_object_110,151016328,JOSÉ EULOGIO GARRIDO ESPINOZA
edu_name_object_111,150622969,JOSÉ FAUSTINO SÁNCHEZ CARRIÓN
edu_name_object_112,150310656,JOSÉ JIMÉNEZ BORJA
edu_name_object_113,150575126,JOSÉ MARÍA ARGUEDAS-ANDAHUAYLAS
edu_name_object_114,150930057,JOSÉ MARÍA ARGUEDAS-AYMARAES
edu_name_object_115,150604371,JOSÉ SALVADOR CAVERO OVALLE
edu_name_object_116,150926840,JOSÉ SANTOS CHOCANO
edu_name_object_117,150276188,JUAN XXIII
edu_name_object_118,150713099,JUANA MORENO
edu_name_object_119,151027754,JULI
edu_name_object_120,150239970,JULIACA
edu_name_object_121,150891770,LA INMACULADA
edu_name_object_122,150207613,LA SALLE-ABANCAY
edu_name_object_123,150591909,LA SALLE-URUBAMBA
edu_name_object_124,150702902,LORETO
edu_name_object_125,150732370,MANUEL GONZALES PRADA
edu_name_object_126,151180769,MANUEL VEGAS CASTILLO
edu_name_object_127,150290924,MARCOS DURAN MARTEL
edu_name_object_128,151192830,MARÍA MADRE
edu_name_object_129,150567784,MERCEDES CABELLO DE CARBONERA
edu_name_object_130,150595090,MONSEÑOR ELÍAS OLÁZAR
edu_name_object_131,151157916,MONSEÑOR FRANCISCO GONZÁLEZ BURGA
edu_name_object_132,151124072,MONTERRICO
edu_name_object_133,150419937,NUESTRA SEÑORA DE LOURDES
edu_name_object_134,150453787,NUESTRA SEÑORA DE CHOTA
edu_name_object_135,150622936,NUESTRA SEÑORA DE LA ASUNCIÓN
edu_name_object_136,151113182,NUESTRA SEÑORA DE LAS MERCEDES
edu_name_object_137,150688341,NUESTRA SEÑORA DEL ROSARIO
edu_name_object_138,151028554,NUÑOA
edu_name_object_139,150611525,OCTAVIO MATTA CONTRERAS
edu_name_object_140,151227982,PEDRO MONGE CÓRDOVA
edu_name_object_141,150356972,PIURA
edu_name_object_142,150598367,POMABAMBA
edu_name_object_143,151061498,POMACANCHI
edu_name_object_144,150714725,PÚBLICO BAMBAMARCA
edu_name_object_145,150721951,PUBLICO CANGALLO
edu_name_object_146,150676312,PUBLICO DE LAMAS
edu_name_object_147,150623025,PUBLICO TAYABAMBA
edu_name_object_148,150926733,PUCARÁ
edu_name_object_149,150474320,PUNO
edu_name_object_150,150591859,PUQUIO
edu_name_object_151,150933218,QUILLABAMBA
edu_name_object_152,150926865,RAFAEL HOYOS RUBIO
edu_name_object_153,150453761,SAGRADO CORAZÓN DE JESÚS
edu_name_object_154,151065374,SAN JOSEMARÍA ESCRIVA
edu_name_object_155,151059245,SAN JUAN BAUTISTA
edu_name_object_156,150815084,SAN MARCOS
edu_name_object_157,150696385,SAN MIGUEL
edu_name_object_158,150759217,SANTA CRUZ
edu_name_object_159,150207597,SANTA ROSA
edu_name_object_160,150273979,TARAPOTO
edu_name_object_161,151109396,TEMBLADERA
edu_name_object_162,150697235,TEODORO PEÑALOZA
edu_name_object_163,150262311,TORIBIO RODRÍGUEZ DE MENDOZA
edu_name_object_164,150586669,TÚPAC AMARU
edu_name_object_165,150642348,VÍCTOR ANDRÉS BELAUNDE
edu_name_object_166,151396217,VIRGEN DE LA NATIVIDAD
edu_name_object_167,150931014,VIRGEN DEL CARMEN
edu_name_object_168,150666479,YARINACOCHA
edu_name_object_169,251141167,ABRAHAM VALDELOMAR
edu_name_object_170,251254739,ADA A. BYRON
edu_name_object_171,251243211,ALEXANDER FLEMING
edu_name_object_172,251066216,AMAUTA-LIMA
edu_name_object_173,250931550,AMAUTA-ESPINAR
edu_name_object_174,250928846,AMÉRICA-ABANCAY
edu_name_object_175,251067057,AMÉRICA-LIMA
edu_name_object_176,251029909,ANDRÉS BELLO
edu_name_object_177,251115328,ANTONIO RAIMONDI
edu_name_object_178,250933622,ARCO IRIS
edu_name_object_179,251123397,AUGUSTE RENOIR
edu_name_object_180,251141209,BALLESTAS
edu_name_object_181,250933168,BERNABÉ COBO
edu_name_object_182,251135292,CAJAMARCA
edu_name_object_183,251468610,CALIDAD EN REDES DE APRENDIZAJE- CREA
edu_name_object_184,251154210,CENIT GALEAZA
edu_name_object_185,251143536,CHILIMASA
edu_name_object_186,251461144,CIENCIA Y LIBERTAD
edu_name_object_187,251232891,CLARIDAD
edu_name_object_188,251140144,CUNA DE LA LIBERTAD AMERICANA
edu_name_object_189,251029669,DANTE NAVA
edu_name_object_190,251196336,DEL VALLE ZAÑA
edu_name_object_191,251386531,DIDASCALIO JESÚS MAESTRO
edu_name_object_192,251115088,DIEGO THOMPSON
edu_name_object_193,250931519,DIVINO MAESTRO
edu_name_object_194,251257013,DIVINO NIÑO
edu_name_object_195,251255629,DIVINO NIÑO JESÚS
edu_name_object_196,251101716,DON BOSCO
edu_name_object_197,251125764,EDUTEK-TACNA
edu_name_object_198,251029800,EDUTEK-SAN ROMAN
edu_name_object_199,251198019,EL NAZARENO
edu_name_object_200,251114131,ERIC BERNE
edu_name_object_201,251112044,ESTEBAN PAVLETICH
edu_name_object_202,251468594,EUROAMERICANO
edu_name_object_203,250911925,EXPERIMENTAL CATOLICO
edu_name_object_204,250898429,FEDERICO KAISER
edu_name_object_205,251026830,FERNANDO STAHLL
edu_name_object_206,251321769,HEADWAY COLLEGE
edu_name_object_207,250920264,HÉROES DE LA BREÑA
edu_name_object_208,251113224,HORACIO URTEAGA
edu_name_object_209,251029305,ISAAC NEWTON
edu_name_object_210,250920298,ISABEL LA CATÓLICA
edu_name_object_211,251124270,JESÚS DE NAZARETH
edu_name_object_212,251114362,JESÚS EL MAESTRO
edu_name_object_213,251272145,JESÚS MAESTRO
edu_name_object_214,250886572,JHALEBEP (ANTES JOSÉ MATÍAS MANZANILLA)
edu_name_object_215,250886556,JORGE BASADRE
edu_name_object_216,251114404,JOSÉ CARLOS MARIÁTEGUI
edu_name_object_217,251255389,JOSÉ CRISAM
edu_name_object_218,251115120,JOSÉ JIMÉNEZ BORJA
edu_name_object_219,251595495,JOSÉ LUIS BUSTAMANTE Y RIVERO
edu_name_object_220,250543355,JUAN DIEGO
edu_name_object_221,250920322,JUAN ENRIQUE PESTALOZZI
edu_name_object_222,251345081,JUAN PABLO VIZCARDO Y GUZMÁN
edu_name_object_223,251451608,JULCÁN
edu_name_object_224,250920363,KENNETH COOPER
edu_name_object_225,251394196,KONRAD ADENAHUER
edu_name_object_226,251450915,LA LIBERTAD-CHEPEN
edu_name_object_227,251174424,LIBERTAD
edu_name_object_228,251029313,LIBERTADOR JOSÉ DE SAN MARTÍN
edu_name_object_229,251468057,LOUIS BAUDIN
edu_name_object_230,250784561,MANUEL SANTANA CHIRI
edu_name_object_231,251172279,MARCELINO CHAMPAGNAT
edu_name_object_232,251115443,MARÍA AUXILIADORA
edu_name_object_233,250892109,MARÍA MONTESSORI
edu_name_object_234,251123249,MARIANNE FROSTIG
edu_name_object_235,251255587,MARYWOOD
edu_name_object_236,251468602,MUSEO DE ARTE DE LIMA
edu_name_object_237,251067131,NICOLÁS COPÉRNICO
edu_name_object_238,251114735,NUESTRA SEÑORA DE LA EVANGELIZACIÓN
edu_name_object_239,251027473,NUESTRA SEÑORA DE LOURDES
edu_name_object_240,251325794,NUESTRA SEÑORA DE FÁTIMA DIVINA PROVIDENCIA
edu_name_object_241,251174507,OXFORD
edu_name_object_242,251114701,PAKAMUROS
edu_name_object_243,251114446,PAULO FREIRE
edu_name_object_244,251192954,PAULO VI
edu_name_object_245,251158484,PERUANO CANADIENSE
edu_name_object_246,251192996,PERUANO DE LA CIENCIA Y LA CULTURA IPEC
edu_name_object_247,250928655,PUKLLASUNCHIS (RICARDO PALMA)
edu_name_object_248,251026806,RICARDO PALMA SORIANO
edu_name_object_249,251113729,SALESIANO
edu_name_object_250,251200591,SALESIANO DOMINGO SAVIO
edu_name_object_251,250691121,SAN CARLOS Y SAN MARCELO
edu_name_object_252,250920454,SAN JOSÉ-HUANCAYO
edu_name_object_253,251135300,SAN FRANCISCO DE ASÍS
edu_name_object_254,251125111,SAN JOSÉ-CAÑETE
edu_name_object_255,251066414,SAN JUAN BOSCO
edu_name_object_256,251114081,SAN MARCELO
edu_name_object_257,251067172,SAN MARCOS
edu_name_object_258,251124247,SAN SILVESTRE
edu_name_object_259,250933242,SANTA ANA
edu_name_object_260,251058551,SANTA ROSA
edu_name_object_261,251114321,SANTO DOMINGO
edu_name_object_262,251115138,SCHILLER GOETHE
edu_name_object_263,251421106,SEÑOR DE LOS MILAGROS
edu_name_object_264,250886564,SEÑOR DE LUREN
edu_name_object_265,251027093,SIMÓN BOLÍVAR
edu_name_object_266,251132703,TACABAMBA
edu_name_object_267,250934158,URIEL GARCÍA
edu_name_object_268,250607366,VÍCTOR ANDRÉS BELAUNDE - LIMA 
edu_name_object_269,251174580,VIRGEN DE LA PUERTA
edu_name_object_270,251245380,VIRGEN DEL CARMEN
edu_name_object_271,251256775,VON BRAUN
edu_name_object_272,141138270,24 DE JULIO DE ZARUMILLA
edu_name_object_273,140591941,4 DE JUNIO DE 1821
edu_name_object_274,141102763,9 DE MAYO
edu_name_object_275,240891598,ABACO - AREQUIPA
edu_name_object_276,240669317,ABACO - CHICLAYO
edu_name_object_277,241200856,ABACO - CUSCO
edu_name_object_278,241185909,ABACO - PIURA
edu_name_object_279,241174929,ABACO - TRUJILLO
edu_name_object_280,241115690,ABACO-LIMA
edu_name_object_281,140753962,ABANCAY
edu_name_object_282,241124528,ABC INFORMATICA
edu_name_object_283,241608090,ACCION COMUNITARIA
edu_name_object_284,241633668,ACIP
edu_name_object_285,141025279,ACORA
edu_name_object_286,241064443,ADA A. BYRON
edu_name_object_287,241468628,ADDIS
edu_name_object_288,241472273,ADMINISTRACION Y NEGOCIOS
edu_name_object_289,241468107,"ADMINISTRACION, NEGOCIOS Y FINANZAS - AFIBAN"
edu_name_object_290,140567313,ADOLFO VIENRICH
edu_name_object_291,241233030,ADUANEC
edu_name_object_292,241027549,ADVENTISTAS DEL TITICACA
edu_name_object_293,240892257,AGRARIO DEL SUR
edu_name_object_294,241345123,AGRONEGOCIOS DEL SUR
edu_name_object_295,140729533,AGUSTIN HAYA DE LA TORRE
edu_name_object_296,140681601,AIJA
edu_name_object_297,241424688,ALAS PERUANAS - CHINCHA
edu_name_object_298,241421114,ALAS PERUANAS - ICA
edu_name_object_299,241468206,ALAS PERUANAS - LIMA INSTITUTO DE ESTUDIOS EMPRESARIALES
edu_name_object_300,241186147,ALAS PERUANAS - PIURA 
edu_name_object_301,241239003,ALAS PERUANAS -AREQUIPA
edu_name_object_302,240898213,ALBERT EINSTEIN
edu_name_object_303,141160159,ALBERTO PUMAYALLA DIAZ 
edu_name_object_304,241114370,ALESSANDRO VOLTA
edu_name_object_305,241066737,ALEXANDER FLEMING
edu_name_object_306,241123603,ALEXANDER GRAHAM BELL
edu_name_object_307,141160175,ALEXANDER VON HUMBOLDT
edu_name_object_308,241123793,ALEXANDER VON HUMBOLDT 
edu_name_object_309,140636050,ALFRED NOBEL
edu_name_object_310,140815118,ALFREDO JOSE MARIA ROCHA ZEGARRA
edu_name_object_311,141327253,ALFREDO SARMIENTO PALOMINO
edu_name_object_312,141257369,ALIANZA RENOVADA ICHUÑA BELGICA
edu_name_object_313,140635995,ALMIRANTE MIGUEL GRAU
edu_name_object_314,241468354,ALTA COCINA D GALLIA
edu_name_object_315,141081116,ALTO HUALLAGA 
edu_name_object_316,140675850,ALTO MAYO
edu_name_object_317,241410166,ALTOS ESTUDIOS EMPRESARIALES E IDIOMAS - BS & L
edu_name_object_318,141065739,AMAUTA JULIO C. TELLO
edu_name_object_319,240605147,AMAUTA SEDE LIMA
edu_name_object_320,241024512,AMAUTA SEDE PUNO
edu_name_object_321,141153519,AMAZONAS - YURIMAGUAS
edu_name_object_322,241404953,AMAZONICO
edu_name_object_323,241313485,AMBROSSIA - CUSCO
edu_name_object_324,240570234,AMERICA
edu_name_object_325,241183714,AMERICAN INSTITUTE
edu_name_object_326,241249358,AMERICAN SYSTEM
edu_name_object_327,241528728,AMERICANA DE MADRE DE DIOS
edu_name_object_328,240934182,AMERICANA DEL CUSCO
edu_name_object_329,241530690,AMERICANO
edu_name_object_330,141369842,ANDABAMBA
edu_name_object_331,241124684,ANDRE VESALIO
edu_name_object_332,141026319,ANDRES AVELINO CACERES - SAN ANTONIO DE PUTINA- PUNO
edu_name_object_333,140697268,ANDRES AVELINO CACERES DORREGARAY - HUANCAYO
edu_name_object_334,241160134,ANDRES AVELINO CACERES DORREGARAY - PASCO
edu_name_object_335,140931022,ANTA
edu_name_object_336,141065135,ANTENOR ORREGO ESPINOZA
edu_name_object_337,240815142,ANTONIO LORENA
edu_name_object_338,240914358,ANTONIO RAIMONDI - CORONEL PORTILLO
edu_name_object_339,140905372,ANTONIO RAIMONDI - YUNGAY
edu_name_object_340,240815191,ANTONIO RAYMONDI - CUSCO
edu_name_object_341,140586628,APARICIO POMARES
edu_name_object_342,241351436,APOLO'S
edu_name_object_343,241389964,APU-RIMAC
edu_name_object_344,140337915,ARGENTINA
edu_name_object_345,241124767,ART NOUVEAU
edu_name_object_346,241114651,"ARTE, NEGOCIO Y TECNOLOGIA-ESANTEC"
edu_name_object_347,141065499,ARTURO SABROSO MONTOYA
edu_name_object_348,241066018,ARZOBISPO LOAYZA
edu_name_object_349,141167220,ASCOPE
edu_name_object_350,240702803,ASESORIA DE EMPRESAS COMERCIALES ADEC
edu_name_object_351,141314061,ASHANINKA
edu_name_object_352,140734103,ATALAYA
edu_name_object_353,241185743,ATENEO DEMOSTENES
edu_name_object_354,140757229,AUCARA
edu_name_object_355,241026533,AUGUSTO SALAZAR BONDY
edu_name_object_356,141058742,AURAHUA
edu_name_object_357,241468040,AVIA
edu_name_object_358,141180801,AYABACA
edu_name_object_359,140716779,AYAVIRI
edu_name_object_360,140745034,BAGUA
edu_name_object_361,140678433,BAMBAMARCA
edu_name_object_362,140760900,BELLAVISTA
edu_name_object_363,240780502,BENJAMIN FRANKLIN
edu_name_object_364,241123710,BETA COMPUTER
edu_name_object_365,241528603,BILL GATES
edu_name_object_366,241003763,BITEC
edu_name_object_367,241124379,BLAISE PASCAL
edu_name_object_368,241528587,BLUE RIBBON INTERNATIONAL CUSCO
edu_name_object_369,140724500,BOLIVAR
edu_name_object_370,241124627,BORJE LANGEFORDS
edu_name_object_371,241351964,BOULANGER
edu_name_object_372,241351576,BUENAVENTURA MESTANZA MORI
edu_name_object_373,141316520,CABANA
edu_name_object_374,140606541,CAJAMARCA
edu_name_object_375,241351972,CAMISEA
edu_name_object_376,141016401,CANCHAQUE
edu_name_object_377,240931543,CANCHIS
edu_name_object_378,140736256,CANIPACO
edu_name_object_379,141232610,CANTA
edu_name_object_380,141065531,CAÑETE
edu_name_object_381,140510784,CAP FAP JOSE ABELARDO QUIÑONES 
edu_name_object_382,141101633,CARHUAZ
edu_name_object_383,241236843,CARLOS AUGUSTO SALAVERRY RAMIREZ
edu_name_object_384,141065572,CARLOS CUETO FERNANDINI
edu_name_object_385,141604206,CARLOS LABORDE
edu_name_object_386,140815092,CARLOS MALPICA RIVAROLA
edu_name_object_387,140359729,CARLOS SALAZAR ROMERO
edu_name_object_388,241062371,CASA TALLER MEDIO AMBIENTE Y DESARROLLO
edu_name_object_389,140891804,CASTILLA
edu_name_object_390,141058155,CASTROVIRREYNA
edu_name_object_391,140563619,CATALINA BUENDIA DE PECHO
edu_name_object_392,240815159,CATOLICA DE CUSCO
edu_name_object_393,240695445,CAYETANO HEREDIA - AREQUIPA
edu_name_object_394,240702894,CAYETANO HEREDIA -CHICLAYO
edu_name_object_395,240605188,CAYETANO HEREDIA DE LIMA
edu_name_object_396,241387349,CCAPAC
edu_name_object_397,141385095,CEFOP CAJAMARCA
edu_name_object_398,241385079,CEFOP LA LIBERTAD
edu_name_object_399,241231877,CELACIT-LATINOAMERICANO DE CIENCIAS Y TECNOLOGIA
edu_name_object_400,241351501,CELENDIN
edu_name_object_401,241315647,CENFOMIN - CENTRO DE FORMACION EN MINERIA
edu_name_object_402,141124601,CENFOTUR-CENTRO DE FORMACION EN TURISMO
edu_name_object_403,241123447,CENTRO DE ALTOS ESTUDIOS DE LA MODA - CEAM 
edu_name_object_404,241203132,CENTRO DE ESTUDIOS DE ALTA MONTAÑA
edu_name_object_405,241595438,CENTRO DE FORMACION AGRICOLA - TACNA
edu_name_object_406,141355692,CENTRO DE FORMACION AGRICOLA MOQUEGUA
edu_name_object_407,141206630,CENTRO DE FORMACION PROFESIONAL BINACIONAL
edu_name_object_408,241302629,CENTRO DE INSTRUCCION DE AVIACION CIVIL CORPAC
edu_name_object_409,241468222,CENTRO DE INVESTIGACION PARA EL DESARROLLO TECNOLOGICO-CIDET
edu_name_object_410,241114487,CENTRO DE INVESTIGACION Y CAPACITACION TECNOLOGICA-CICAT 
edu_name_object_411,241468149,CENTRO DE LA IMAGEN
edu_name_object_412,241249598,CENTRO DE PROMOCIÓN RURAL E INTEGRAL-CEPRORUI
edu_name_object_413,241367135,CENTRO DE PSICOTERAPIA PSICOANALITICA DE LIMA
edu_name_object_414,241468214,CENTRO PERUANO DE ESTUDIOS BANCARIOS-CEPEBAN
edu_name_object_415,241153550,CEPEA-ALTO AMAZONAS
edu_name_object_416,240702696,CEPEA-LIMA
edu_name_object_417,140697979,CESAR AUGUSTO GUARDIA MAYORGA
edu_name_object_418,240695486,CESCA AREQUIPA
edu_name_object_419,241115609,CESCA-LIMA
edu_name_object_420,241140227,CESDE (CENTRO DE ENSEÑANZA SUPERIOR PARA EL DESARROLLO)
edu_name_object_421,241468081,CESSAG
edu_name_object_422,241528736,CETURGH PERU
edu_name_object_423,241468396,CEVATEC-LIMA
edu_name_object_424,241320027,CEVATUR - IQUITOS
edu_name_object_425,241203553,CEVATUR- AREQUIPA
edu_name_object_426,240814657,CEVATUR ICA
edu_name_object_427,240702688,CEVATUR PERU
edu_name_object_428,241175009,CEVATUR TRUJILLO
edu_name_object_429,241183391,CEVATUR-CHICLAYO ( ALTOS ESTUDIOS TURISTICOS)
edu_name_object_430,240921866,CEVATUR-HUANCAYO
edu_name_object_431,141384478,CHACAS
edu_name_object_432,141203520,CHALA
edu_name_object_433,141365865,CHALAMARCA
edu_name_object_434,141328970,CHALHUAHUACHO
edu_name_object_435,140930024,CHALHUANCA
edu_name_object_436,241239466,CHAMINADE MARIANISTAS
edu_name_object_437,240393702,CHAN CHAN
edu_name_object_438,141124957,CHANCAY
